m_date,site_name,temp,ph,ec,do,탁도 (NTU),toc,tn,tp,clola-a
2018-01-18 12h,주암호,,,,,,,,,
2018-01-18 13h,주암호,,,,,,,,,
2018-01-18 14h,주암호,,,,,,,,,
2018-01-18 15h,주암호,,,,,,,,,
2018-01-18 16h,주암호,,,,,,,,,
2018-01-18 17h,주암호,,,,,,,,,
2018-01-18 18h,주암호,,,,,,,,,
2018-01-18 19h,주암호,,,,,,,,,
2018-01-18 20h,주암호,,,,,,,,,
2018-01-18 21h,주암호,,,,,,,,,
2018-01-18 22h,주암호,,,,,,,,,
2018-01-18 23h,주암호,,,,,,,,,
2018-01-19 00h,주암호,,,,,,,,,
2018-01-19 01h,주암호,,,,,,,,,
2018-01-19 02h,주암호,,,,,,,,,
2018-01-19 03h,주암호,,,,,,,,,
2018-01-19 04h,주암호,,,,,,,,,
2018-01-19 05h,주암호,,,,,,,,,
2018-01-19 06h,주암호,,,,,,,,,
2018-01-19 07h,주암호,,,,,,,,,
2018-01-19 08h,주암호,,,,,,,,,
2018-01-19 09h,주암호,,,,,,,,,
2018-01-19 10h,주암호,,,,,,,,,
2018-01-19 11h,주암호,,,,,,,,,
2018-01-19 12h,주암호,,,,,,,,,
2018-01-19 13h,주암호,,,,,,,,,
2018-01-19 14h,주암호,,,,,,,,,
2018-01-19 15h,주암호,,,,,,,,,
2018-01-19 16h,주암호,,,,,,,,,
2018-01-19 17h,주암호,,,,,,,,,
2018-01-19 18h,주암호,,,,,,,,,
2018-01-19 19h,주암호,,,,,,,,,
2018-01-19 20h,주암호,,,,,,,,,
2018-01-19 21h,주암호,,,,,,,,,
2018-01-19 22h,주암호,,,,,,,,,
2018-01-19 23h,주암호,,,,,,,,,
2018-01-20 00h,주암호,,,,,,,,,
2018-01-20 01h,주암호,,,,,,,,,
2018-01-20 02h,주암호,,,,,,,,,
2018-01-20 03h,주암호,,,,,,,,,
2018-01-20 04h,주암호,,,,,,,,,
2018-01-20 05h,주암호,,,,,,,,,
2018-01-20 06h,주암호,,,,,,,,,
2018-01-20 07h,주암호,,,,,,,,,
2018-01-20 08h,주암호,,,,,,,,,
2018-01-20 09h,주암호,,,,,,,,,
2018-01-20 10h,주암호,,,,,,,,,
2018-01-20 11h,주암호,,,,,,,,,
2018-01-20 12h,주암호,,,,,,,,,
2018-01-20 13h,주암호,,,,,,,,,
2018-01-20 14h,주암호,,,,,,,,,
2018-01-20 15h,주암호,,,,,,,,,
2018-01-20 16h,주암호,,,,,,,,,
2018-01-20 17h,주암호,,,,,,,,,
2018-01-20 18h,주암호,,,,,,,,,
2018-01-20 19h,주암호,,,,,,,,,
2018-01-20 20h,주암호,,,,,,,,,
2018-01-20 21h,주암호,,,,,,,,,
2018-01-20 22h,주암호,,,,,,,,,
2018-01-20 23h,주암호,,,,,,,,,
2018-01-21 00h,주암호,,,,,,,,,
2018-01-21 01h,주암호,,,,,,,,,
2018-01-21 02h,주암호,,,,,,,,,
2018-01-21 03h,주암호,,,,,,,,,
2018-01-21 04h,주암호,,,,,,,,,
2018-01-21 05h,주암호,,,,,,,,,
2018-01-21 06h,주암호,,,,,,,,,
2018-01-21 07h,주암호,,,,,,,,,
2018-01-21 08h,주암호,,,,,,,,,
2018-01-21 09h,주암호,,,,,,,,,
2018-01-21 10h,주암호,,,,,,,,,
2018-01-21 11h,주암호,,,,,,,,,
2018-01-21 12h,주암호,,,,,,,,,
2018-01-21 13h,주암호,,,,,,,,,
2018-01-21 14h,주암호,,,,,,,,,
2018-01-21 15h,주암호,,,,,,,,,
2018-01-21 16h,주암호,,,,,,,,,
2018-01-21 17h,주암호,,,,,,,,,
2018-01-21 18h,주암호,,,,,,,,,
2018-01-21 19h,주암호,,,,,,,,,
2018-01-21 20h,주암호,,,,,,,,,
2018-01-21 21h,주암호,,,,,,,,,
2018-01-21 22h,주암호,,,,,,,,,
2018-01-21 23h,주암호,,,,,,,,,
2018-01-22 00h,주암호,,,,,,,,,
2018-01-22 01h,주암호,,,,,,,,,
2018-01-22 02h,주암호,,,,,,,,,
2018-01-22 03h,주암호,,,,,,,,,
2018-01-22 04h,주암호,,,,,,,,,
2018-01-22 05h,주암호,,,,,,,,,
2018-01-22 06h,주암호,,,,,,,,,
2018-01-22 07h,주암호,,,,,,,,,
2018-01-22 08h,주암호,,,,,,,,,
2018-01-22 09h,주암호,,,,,,,,,
2018-01-22 10h,주암호,,,,,,,,,
2018-01-22 11h,주암호,,,,,,,,,
2018-01-22 12h,주암호,,,,,,,,,
2018-01-22 13h,주암호,,,,,,,,,
2018-01-22 14h,주암호,,,,,,,,,
2018-01-22 15h,주암호,,,,,,,,,
2018-01-22 16h,주암호,,,,,,,,,
2018-01-22 17h,주암호,,,,,,,,,
2018-01-22 18h,주암호,,,,,,,,,
2018-01-22 19h,주암호,,,,,,,,,
2018-01-22 20h,주암호,,,,,,,,,
2018-01-22 21h,주암호,,,,,,,,,
2018-01-22 22h,주암호,,,,,,,,,
2018-01-22 23h,주암호,,,,,,,,,
2018-01-23 00h,주암호,,,,,,,,,
2018-01-23 01h,주암호,,,,,,,,,
2018-01-23 02h,주암호,,,,,,,,,
2018-01-23 03h,주암호,,,,,,,,,
2018-01-23 04h,주암호,,,,,,,,,
2018-01-23 05h,주암호,,,,,,,,,
2018-01-23 06h,주암호,,,,,,,,,
2018-01-23 07h,주암호,,,,,,,,,
